District ;Street ;Building;Pharmacy_name ;Enterpreneur_name;Phone_number_1;Phone number 2;Phone number 3;Phone number 4;Cellphone_number_1;Cellphone_number_2;Hours_of_work_(weekdays);Hours_of_work_(Saturday) ;Hours_of_work_(Sunday);E-mail_1;E-mail_2
Франківський;Героїв УПА;30;Аптека;ТзОВ «Аптека «Примула»;0322380292;0322378789;;;;;;;;;
Франківський;Героїв УПА;57в;Аптека «Panadol»;ТзОВ «Гіруда»;;;;;;;;;;;
Франківський;Героїв УПА;76;Аптека №27 «3і»;ТзОВ фірма «Медфарм»;0322374764;;;;;;;;;office@3i.ua;
Франківський;Васильківського С.;1;Аптека «Подорожник»;ПП «Соломія сервіс»;0322388691;;;;0676706556;;;;;solomia.service@gmail.com;
Франківський;Антоновича В.;102;«Жіноча аптека»;ПП «Жіноча аптека»;0322471512;;;;;;;;;pharmacy@intersono.ua;
Франківський;Коновальця Є.;22;Аптечний пункт №3;ТзОВ «Алтея»;0322470099;;;;;;;;;;
Франківський;Русових;4;Аптечний пункт №1 ;ТзОВ «Науково-дослідна клініка біологічної медицини«Ангеліка»;;;;;0676758626;;;;;rusovuh@biomed.in.ua;
Франківський;Моршинська;2;Аптека «Пульс»;ТзОВ «Декада-2000»;0322370154;;;;;;цілодобово;цілодобово;цілодобово;dekada2000@ukr.net;
Франківський;Чупринки Т., ген.;43;Аптека «Пульс»;ТзОВ «Декада-2000»;0322372957;;;;;;;;;dekada2000@ukr.net;
Франківський;Чупринки Т., ген.;43;Аптечний пункт №1;ФОП Любінець Назар Олегович;;;;;;;;;;;
Франківський;Чупринки Т., ген.;45;Аптека;ТзОВ «Компанія Лілея»;0322379998;;;;;;;;;;
Франківський;Чупринки Т., ген.;58б;Аптека «Добрий аптекар»;ФОП Герман Олександр Володимирович;;;;;0686794952;;;;;da3@aptekar.lviv.ua;
Франківський;Чупринки Т., ген.;58;Аптека №15 Аптека «3і»;ТзОВ «Аптека довіри»;0322352077;;;;;;;;;office@3i.ua;
Франківський;Бандери С.;57;Аптека;ФОП Ходаковська Лариса Іванівна;0322385621;;;;;;цілодобово;цілодобово;цілодобово;hodakovska@gmail.com;
Франківський;Бандери С.;57;Аптека;ФОП Межегурський Володимир Віталійович;0322389594;;;;;;;;;Sjanjafarm@ukr.net;
Франківський;Бандери С.;71;Аптека №30 D.S.;ТзОВ «Ваша аптека»;0322373236;0322439393;;;;;;;;office@market-universal.com.ua;
Франківський;Нечуя-Левицького І.;3;Аптека;ТзОВ Аптека «3і»;0322381695;;;;;;;;;office@3i.ua;
Франківський;Київська;9;Аптека D.S.;ТзОВ «Ваша аптека №30»;0322439393;;;;;;;;;office@market-universal.com.ua;
Франківський;Київська;23;Аптека;ТзОВ «Аптека №38»;0322377247;;;;;;;;;;
Франківський;Сахарова А., акад.;4;Аптека D.S.;ТзОВ «Ваша аптека» опт №16;0322370948;;;;;;;;;office@market-universal.com.ua;
Франківський;Сахарова А., акад.;58;Аптека;ПП ВКФ «Скайінвест»;0322371154;;;;;;;;;;
Франківський;Стрийська;72;Аптека ;ТзОВ «Здорове майбутнє»;0322371098;;;;;;;;;nvv@pharnasity.com.ua;
Франківський;Стрийська;76а;Аптека «3і»;ТзОВ «Аптека довіри»;0322387614;;;;;;;;;office@3i.ua;
Франківський;Лазаренка Є., акад.;48;Аптека;ФОП Кузьмінов Олександр Борисович;0322954220;;;;;;;;;;
Франківський;Кульпарківська;3;Аптека D.S.;ТзОВ «Ваша аптека»;;;;;0673736066;;;;;office@market-universal.com.ua;
Франківський;Кульпарківська;35;Аптека, аптечний пункт;КП ЛОР МЛА №289;0322926294;;;;;;цілодобово;цілодобово;цілодобово;Apteka289@i.ua;
Франківський;Кульпарківська;35;Аптека «Біомед»;ТзОВ Фрайцензингова компанія «Біомед»;;;;;0673509194;;цілодобово;цілодобово;цілодобово;;
Франківський;Кульпарківська;35;Аптека «3і»;ТзОВ фірма «Медфарм»;;;;;0504326586;;;;;office@3i.ua;
Франківський;Кульпарківська;95;Аптека  «Плюс Aksis»;ТзОВ «Аяксіс плюс»;0322528854;;;;;;;;;apt3_Lviv@ukr.net;
Франківський;Кульпарківська;95;Аптека «3і»;ТзОВ «3і»;0322954913;;;;;;цілодобово;цілодобово;цілодобово;office@3i.ua;
Франківський;Кульпарківська;95;Аптека «Біомед»;ПП «Дешева аптека»;0322925492;;;;0676765339;;цілодобово;цілодобово;цілодобово;Kulparkivska@biimed.in.ua;
Франківський;Кульпарківська;125б;Аптека;ТзОВ «І.К.В»;;;;;0675205925;;;;;;
Франківський;Княгині Ольги;3а;Аптека;ПП «Джміль»;0322417055;;;;;;;;;ganna19@i.ua;
Франківський;Княгині Ольги;61;Аптека ;ТзОВ «Аптека №29»;0322630036;;;;;;цілодобово;цілодобово;цілодобово;farmasia29.61@gmail.com;
Франківський;Княгині Ольги;65;«Сімейна аптека»;ПП «Аптека Аронія»;0322970091;;;;;;;;;office@sa.lviv.ua ;
Франківський;Княгині Ольги;100к;Аптека D.S.;ТзОВ «7 ЯСЕН»;0322439393;;;;;;;;;7ach.office@dmail.com;
Франківський;Княгині Ольги;100г;Аптека №55;ПП «Аптека Аронія»;;;;;0933547145;;цілодобово;цілодобово;цілодобово;office@sa.lviv.ua ;
Франківський;Княгині Ольги;114;Аптека D.S.;ТзОВ  «Маркет Універсал ЛТД»;0322632149;;;;;;;;;office@market-universal.com.ua;
Франківський;Княгині Ольги;120;«Сімейна аптека»;ПП «Аптека аронія»;0322457883;;;;;;;;;office@sa.lviv.ua ;
Франківський;Айвазовського І.;11;Аптека «Подорожник»;ФОП Федечко Ніна Іванівна;0322630401;;;;;;;;;solomia.service@gmail.com;
Франківський;Володимира Великого;1;Аптека D.S.;ТзОВ «Ваша аптека»;0322630025;;;;;;;;;office@market-universal.com.ua;
Франківський;Володимира Великого;34;«Сімейна аптека»;ПП «Аптека аронія»;0322320303;;;;0678883202;;;;;office@sa.lviv.ua ;
Франківський;Володимира Великого;51;Аптека «3і»;ТзОВ «Аптека довіри»;0322458225;;;;;;;;;office@3i.ua;
Франківський;Володимира Великого;58;Аптека №34;ПП «Наша аптека»;;;;;0952703136;;;;;secretary@nasha-apteka.com.ua;
Франківський;Володимира Великого;59а;Аптека №14 «Сальве»;ТзОВ «Сальве-Львів»;;;;;0673431722;;;;;info@salve.com.ua;
Франківський;Володимира Великого;61;Аптека «Подорожник»;ПП «Соломія сервіс»;0322647972;;;;0676713264;;;;;solomia.service@gmail.com;
Франківський;Володимира Великого;61;Аптека №21 Аптека «Пульс»;ТзОВ «Декада-2000»;0322417118;;;;;;цілодобово;цілодобово;цілодобово;dekada2000@ukr.net;
Франківський;Володимира Великого;63;Аптека;ПП «Сидол»;0322645703;;;;;;;;;;
Франківський;Володимира Великого;67а;Аптека №33 «Сімейна аптека»;ПП «Аптека Аронія»;0322648860;;;;;;;;;office@sa.lviv.ua ;
Франківський;Володимира Великого;75;Аптека №4 «Здорова родина»;ПП «Наіс»;;;;;;;;;;;
Франківський;Володимира Великого;105а;Аптека «Копійка»;ТзОВ «Аптека низьких цін» Львів»;0322341655;;;;;;;;;lviv@aptekanizkihcen.ua;
Франківський;Симоненка В.;3;Аптека «Знахар»;Аптека №5 «Знахар»;0322975589;;;;;;;;;office@apteka-znahar.com.ua;
Франківський;Симоненка В.;4;Аптека;ТзОВ «Аптека №44»;0322632336;;;;;;;;;art44@mail.lviv.ua;
Франківський;Симоненка В.;4;Аптечний пункт №1;ТзОВ «Аптека №44»;0322632261;;;;;;;;;art44@mail.lviv.ua;
Франківський;Симоненка В.;4;Аптечний пункт №2 ;ТзОВ «Аптека №44»;0322632261;;;;;;;;;art44@mail.lviv.ua;
Франківський;Симоненка В.;4;Аптека Аптека «Пульс»;ТзОВ «Декада 2000»;0322646831;;;;;;;;;dekada2000@ukr.net;
Франківський;Симоненка В.;7;Аптека «Бажаємо здоров'я»;ТзОВ «Ай пі фармація»;800500512;;;;;;;;;torg@apteka.net.ua;
Франківський;Наукова;10а;Аптека D.S.;ТзОВ «Ваша аптека №39»;0322631221;;;;;;;;;office@market-universal.com.ua;
Франківський;Наукова;29а;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322439393;;;;;;;;;office@market-universal.com.ua;
Франківський;Наукова;33;Аптека «Біомед»;ФОП Крилошанська Ірина Володимирівна;0322409700;;;;;;;;;naukova@biomed.in.ua;
Франківський;Наукова;35а;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322952658;;;;;;;;;office@market-universal.com.ua;
Франківський;Наукова;43а;«Аптека низьких цін»;ТзОВ  «Аптека низьких цін» Львів»;0322340098;;;;;;;;;lviv@aptekanizkihcen.ua;
Франківський;Наукова;47;Аптека ;ТзОВ «Аптека довіри»;0322447387;;;;;;цілодобово;цілодобово;цілодобово;office@3i.ua;
Франківський;Наукова;51;Аптека «Копійка»;ТзОВ «Аптека низьких цін» Львів»;0322341600;;;;;;;;;lviv@aptekanizkihcen.ua;
Франківський;Наукова;64;Аптека «Подорожник»;ПП «Соломія-Сервіс»;0322340206;;;;0676713076;;;;;solomia.service@gmail.com;
Франківський;Наукова;112;«Сімейна аптека»;ПП «Аронія«;0322340220;;;;;;;;;office@sa.lviv.ua ;
Франківський;Старицького М.;2;Аптека №1;ФОП Межегурський Володимир Віталійович;0322389594;0322389564 ;0322389597;;;;;;;Sjanjafarm@ukr.net;
Шевченківський;Мазепи І., гетьмана;11;Аптека «Знахар»;ФОП Мокрий Тарас Мирославович;0322940628;0322975589;0322645337;0322975546;;;;;;4Znahar@gmail.com ;office@apteka-znahar.com.ua
Шевченківський;Шевченка Т.;366в;Аптека «Знахар»;ТзОВ «Аптека «Знахар»;0322975589;0322645337;0322975546;;0674298614;;;;;office@apteka-znahar.com.ua;
Шевченківський;Хімічна;22;Аптека «Знахар»;ТзОВ «Аптека «Знахар»;0322975589;0322645337;0322975546;;;;;;;office@apteka-znahar.com.ua;
Шевченківський;Чорновола В., просп.;67а;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Маркет Універсал Лтд»;0322247152;0322439393;;;;;;;;office@market-universal.com.ua;
Шевченківський;Чорновола В., просп.;57а;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Маркет Універсал Лтд»;0322316672;;;;;;;;;apteka50@market-universal.com.ua                                                  ;office@market-universal.com.ua
Шевченківський;Грінченка Б.;5;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Ваша аптека»;0322935440;0322439393;;;;;;;;office@market-universal.com.ua;
Шевченківський;Мазепи І., гетьмана;15;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Ваша аптека»;0322940915;0322439393;;;;;;;;office@market-universal.com.ua;
Шевченківський;Гайдамацька;9а;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Ваша аптека»;;;;;0673142708;;;;;www.ds.lviv.ua.office@market-universal.com.ua;
Шевченківський;Базарна;11;Аптека                                              «Мережа аптек D.S.«;ТзОВ «Маркет Універсал ЛТД»;;;;;0673143709;;;;;office@market-universal.com.ua;
Шевченківський;Заводська;8;Аптека «Подорожник»;ПП «Соломія- Сервіс»;0322539443;;;;0676759043;;;;;;
Шевченківський;Шевченка Т.;364;Аптека «Подорожник»;ПП «Соломія- Сервіс»;0322559810;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Мазепи І., гетьмана;12;Аптека «Подорожник»;ПП «Соломія- Сервіс»;;;;;0963613787;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Хімічна;5;Аптека «Подорожник»;ПП «Соломія- Сервіс»;0322524493;;;;;;;;;;
Шевченківський;Чорновола В., просп.;95;Аптека «Подорожник»;ПП «Соломія- Сервіс»;;;;;0673102948;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Величковського І.;38;Аптека «3і»;ТзОВ «Аптека довіри»;0322915707;;;;;;;;;sm@3І.ua;
Шевченківський;Творча;46;Аптека «3і»;ТзОВ «Аптека довіри»;0322989590;;;;;;;;;sm@3І.ua;
Шевченківський;Хмельницького Б.;273;Аптека «3і»;ТзОВ «Медфарм»;0322931045;;;;0503804870;;;;;;
Шевченківський;Шевченка Т.;96;Аптека «3і»;ТзОВ «Медфарм»;0322970609;;;;;;;;;;
Шевченківський;Миколайчука І.;22;Аптека «3і»;ТзОВ «Аптека довіри»;0322943630;;;;0503819746;;;;;;
Шевченківський;Панча П.;18в;Аптека;ТзОВ «Аптека довіри»;0322319337;;;;;;;;;;
Шевченківський;Чорновола В., просп.;101;Аптека «Копійка»;ТзОВ «Аптека низьких цін» Львів»;0322590061;;;;;;;;;;
Шевченківський;Мазепи І., гетьмана;12;«Аптека низьких цін»;ТзОВ «Аптека низьких цін» Львів»;0322932805;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Клепарівська;4;Аптека ;ПП «Аптека «Фарм-проект»;0322334879;;;;;;;;;;
Шевченківський;Грінченка Б.;2а;Аптека «Пульс»;ТзОВ «Декада-2000»;0322937568;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Липи Ю.;20;Аптека «Пульс»;ТзОВ «Декада-2000»;0322455173;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Шевченка Т.;358;Аптека «Пульс»;ТзОВ «Декада-2000»;0322911578;;;;;;цілодобово;цілодобово;цілодобово;dekada.shv@rambler.ru ;
Шевченківський;Окуневського Т.;3;Аптека «Пульс»;ТзОВ «Декада-2000»;0322455154;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Замарстинівська;11;«Сімейна аптека»;ПП «Аптека «Аронія»;0322528070;;;;;;;;;dovidka@sa.lviv.ua;
Шевченківський;Чорновола В., просп.;43а;«Сімейна аптека»;ПП «Аптека «Аронія»;0322971599;;;;;;;;;dovidka@sa.lviv.ua;
Шевченківський;Чорновола В., просп.;93;«Сімейна аптека»;ПП «Аптека «Аронія»;0322459582;0322445433;;;;;;;;dovidka@sa.lviv.ua;
Шевченківський;Хмельницького Б.;163;Аптека «Любисток»;ФОП Романів Світлана Петрівна;0322471703;;;;;;;;;cilutel@ukr.net;
Шевченківський;Хмельницького Б.;225;Аптека «Любисток»;ФОП Максимів Петро Васильович;0322533553;;;;;;;;;cilutel@ukr.net;
Шевченківський;Мазепи І., гетьмана;13;Аптека «Здорова родина»;ПП «Фармацевтична компанія «Здорова родина»;;;;;0959025302;;;;;;
Шевченківський;Мазепи І., гетьмана;24;Аптека «Здорова родина»;ПП «Фармацевтична компанія «Здорова родина»;;;;;0959024510;;;;;;
Шевченківський;Хімічна;4;Аптека «Здорова родина»;ПП «Фармацевтична компанія «Здорова родина»;;;;;0959024503;;;;;;
Шевченківський;Мазепи І., гетьмана;26;Аптека;КП «Аптека №293»;0322938080;;;;;;;;;;
Шевченківський;Мазепи І., гетьмана;25;Аптека;КП «Аптека №293»;0322938076;;;;;;;;;;
Шевченківський;Леонтовича М.;1;Аптека 31                                          «Едельвейс«;ТзОВ «Аптека №31»;0322333529;;;;;;;;;apteka31tzov@gmail.com;
Шевченківський;Замарстинівська;54;Аптека                                            «Едельвейс«;ТзОВ «Аптека №31»;0322521169;;;;;;;;;;
Шевченківський;Мазепи І., гетьмана;20;Аптека «ПП ВКФ «Скайінвест»;ПП «Виробничо-комерційна фірма «Скайінвест»;0322521087;;;;;;;;;;
Шевченківський;Золота;26;Аптека;ФОП Тофан Василь Миколайович;;;;;0677713228;;;;;;
Шевченківський;Шевченка Т.;70;Аптека «Біомед»;ФОП Левицька Ірина Миколаївна;0322332180;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Величковського І.;44;Аптека;ПП «Сидол»;0322915426;;;;;;;;;;
Шевченківський;Панча П.;5;Аптека;ФОП Хомин Марія Степанівна;0322455113;;;;;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Джрельна;21;«Ветаптека»;ФОП Прийма Наталя Миронівна;;;;;0679268265;;;;;;
Шевченківський;Лінкольна А.;10а;Аптека;ФОП Гоза Степан Петрович;0322959751;;;;;;;;;apteka.gsp@gmail.com;
Шевченківський;Шевченка Т.;350б;Аптека «Aвіценна»;ФОП Коломієць Мирослава Володимирівна;0322911376;;;;;;;;;;
Шевченківський;Шевченка Т.;388;Аптека;ФОП Якимович Назар Тарасович;0322914192;;;;;;;;;;
Шевченківський;Хмельницького Б.;173;Аптека «Еталон здоров’я»;ТзОВ Аптека «3і»;0322944333;;;;;;;;;mf30@fmf.com.ua;
Шевченківський;Грінченка Б.;6;Аптека;ФОП Сиділо Ігор Олексійович;;;;;0971218841;;цілодобово;цілодобово;цілодобово;;
Шевченківський;Хмельницького Б.;223;Аптека «Сальве»;ТзОВ «Сальве Львів»;;;;;0672233604;;;;;;
Шевченківський;Хмельницького Б.;149;Аптека;ФОП Жеребецька Марта Романівна;0322527584;;;;;;;;;martavita@ukr.net;
Шевченківський;Хмельницького Б.;273;Аптека «Сідус»;ТзОВ «Лідер-Захід»;;;;;0503561355;;;;;sia_03@3i.ua;
Шевченківський;Хмельницького Б.;127;Фіто магазин «Оксана»            ;Ліки на травах від Наталії Земної;;;;;;;Станом на 20.02.2017р. не працює (ведуться ремонтні роботи);;;;
